0.73,1.19,Kepler-811 b,,0.241
0.101,0.38,Kepler-225 c,,0.164154
None ,0.196,Kepler-1305 b,,0.168
 ,0.856,Kepler-150 d,,0.248907
None ,0.178,K2-77 b,,0.210271
None ,0.33,Kepler-1322 b,,0.144
None ,0.514,Kepler-405 b,,0.185565
None ,0.17,Kepler-208 b,,0.145419
None ,0.116,M 67 YBP 1194 b,,
None ,0.312,Kepler-1084 b,,0.099
None ,0.118,Kepler-616 b,,0.217
None ,0.194,Kepler-325 d,,0.248907
None ,0.143,Kepler-1065 c,,0.143
None ,0.1,Kepler-1464 c,,0.089
None ,0.231,Kepler-340 c,,0.300651
None ,0.24,Kepler-682 b,,0.658
0.97,1.29,Kepler-507 b,,0.116
0.84,1.44,HD 40307 c,,
0.381,0.812,HD 142 b,,
1.28,0.91,Kepler-257 b,,0.232849
None ,0.13,K2-95 b,,0.314482
None ,0.226,HATS-34 b,,1.46283
1.019,1.095,Kepler-976 b,,0.353
0.495,1.089,WASP-10 b,,1.08
0.7,0.079,Kepler-982 b,,0.201
0.26,0.774,GJ 328 b,,
3,1.051,WASP-17 b,,1.932
13,1.11,HAT-P-17 b,,1.01
0.02753,0.174,Kepler-162 b,,0.11241
0.04616,0.327,Kepler-487 c,,0.239
0.03203,0.352,HD 67087 b,,
6.7, None,Kepler-293 c,,0.34169
0.645, None,HD 102329 b,,
2.71, None,Kepler-872 b,,0.178
7.6, None,Kepler-1542 d,,0.078
2.46, None,BD -06 1339 c,,
3.16, None,HD 159868 b,,
 , None,K2-21 b,,0.14185
13.9, None,Kepler-424 b,,0.89
None , None,Kepler-262 c,,0.146311
15, None,WASP-117 b,,1.021
10, None,WASP-75 b,,1.27
0.0079, None,Kepler-1293 b,,0.087
0.0118, None,Kepler-222 b,,0.281916
None ,0.181,Kepler-334 b,,0.0999197
9.4, None,HD 114783 b,,
8.78, None,GJ 581 e,,
1.02, None,Kepler-1638 b,,0.167
4.58, None,Kepler-605 b,,0.128
1.34, None,Kepler-327 c,,0.0918904
